"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.0555,0,0,0,0,0.111,1,1.67e-07,0.00248,0.0003,0,-0,0.173,0,0.868,-0.0173,0
0.0551,0,0,0,0,0.11,1,1.67e-07,0.00249,0.0003,0,-0,0.173,0,0.863,-0.0179,0
0.0548,0,0,0,0,0.11,1,1.67e-07,0.0025,0.000299,0,-0,0.174,0,0.858,-0.0185,0
0.0545,0,0,0,0,0.109,1,1.67e-07,0.00251,0.000298,0,-0,0.174,0,0.853,-0.0192,0
0.0542,0,0,0,0,0.108,1,1.67e-07,0.00251,0.000297,0,-0,0.174,0,0.847,-0.0198,0
0.054,0,0,0,0,0.108,1,1.67e-07,0.00252,0.000296,0,-0,0.175,0,0.841,-0.0205,0
0.0538,0,0,0,0,0.108,1,1.67e-07,0.00253,0.000295,0,-0,0.175,0,0.836,-0.0212,0
0.0536,0,0,0,0,0.107,1,1.67e-07,0.00254,0.000293,0,-0,0.175,0,0.83,-0.0218,0
0.0534,0,0,0,0,0.107,1,1.67e-07,0.00254,0.000292,0,-0,0.175,0,0.823,-0.0225,0
0.0533,0,0,0,0,0.107,1,1.67e-07,0.00255,0.000291,0,-0,0.175,0,0.817,-0.0233,0
0.0532,0,0,0,0,0.106,1,1.67e-07,0.00256,0.00029,0,-0,0.176,0,0.811,-0.024,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.00257,0.000288,0,-0,0.176,0,0.804,-0.0247,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00257,0.000287,0,-0,0.176,0,0.798,-0.0255,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00258,0.000285,0,-0,0.176,0,0.791,-0.0262,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00259,0.000283,0,-0,0.177,0,0.784,-0.027,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00259,0.000282,0,-0,0.177,0,0.777,-0.0278,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.0026,0.00028,0,-0,0.177,0,0.77,-0.0285,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.00261,0.000278,0,-0,0.177,0,0.762,-0.0293,0
0.0533,0,0,0,0,0.107,1,1.67e-07,0.00261,0.000276,0,-0,0.177,0,0.755,-0.0301,0
0.0534,0,0,0,0,0.107,1,1.67e-07,0.00262,0.000274,0,-0,0.178,0,0.747,-0.0309,0
0.0536,0,0,0,0,0.107,1,1.67e-07,0.00263,0.000272,0,-0,0.178,0,0.739,-0.0317,0
0.0538,0,0,0,0,0.108,1,1.67e-07,0.00263,0.00027,0,-0,0.178,0,0.732,-0.0325,0
0.054,0,0,0,0,0.108,1,1.67e-07,0.00264,0.000268,0,-0,0.178,0,0.724,-0.0334,0
0.0543,0,0,0,0,0.109,1,1.67e-07,0.00264,0.000265,0,-0,0.178,0,0.715,-0.0342,0
0.0546,0,0,0,0,0.109,1,1.67e-07,0.00265,0.000263,0,-0,0.179,0,0.707,-0.035,0
0.0549,0,0,0,0,0.11,1,1.67e-07,0.00266,0.00026,0,-0,0.179,0,0.699,-0.0358,0
0.0553,0,0,0,0,0.111,1,1.67e-07,0.00266,0.000258,0,-0,0.179,0,0.69,-0.0367,0
0.0557,0,0,0,0,0.111,1,1.67e-07,0.00267,0.000255,0,-0,0.179,0,0.682,-0.0375,0
0.0561,0,0,0,0,0.112,1,1.67e-07,0.00268,0.000252,0,-0,0.179,0,0.673,-0.0383,0
0.0566,0,0,0,0,0.113,1,1.67e-07,0.00268,0.000249,0,-0,0.18,0,0.664,-0.0392,0
0.0571,0,0,0,0,0.114,1,1.67e-07,0.00269,0.000246,0,-0,0.18,0,0.655,-0.04,0
0.0577,0,0,0,0,0.115,1,1.67e-07,0.00269,0.000243,0,-0,0.18,0,0.646,-0.0408,0
0.0583,0,0,0,0,0.117,1,1.67e-07,0.0027,0.00024,0,-0,0.18,0,0.637,-0.0416,0
0.0589,0,0,0,0,0.118,1,1.67e-07,0.00271,0.000237,0,-0,0.18,0,0.628,-0.0424,0
0.0596,0,0,0,0,0.119,1,1.67e-07,0.00271,0.000233,0,-0,0.181,0,0.618,-0.0432,0
0.0603,0,0,0,0,0.121,1,1.67e-07,0.00272,0.00023,0,-0,0.181,0,0.609,-0.044,0
0.061,0,0,0,0,0.122,1,1.67e-07,0.00273,0.000226,0,-0,0.181,0,0.599,-0.0448,0
0.0618,0,0,0,0,0.124,1,1.67e-07,0.00273,0.000222,0,-0,0.181,0,0.59,-0.0456,0
0.0627,0,0,0,0,0.125,1,1.67e-07,0.00274,0.000218,0,-0,0.181,0,0.58,-0.0464,0
0.0636,0,0,0,0,0.127,1,1.67e-07,0.00274,0.000214,0,-0,0.181,0,0.571,-0.0472,0
0.0645,0,0,0,0,0.129,1,1.67e-07,0.00275,0.00021,0,-0,0.182,0,0.561,-0.0479,0
0.0655,0,0,0,0,0.131,1,1.67e-07,0.00276,0.000205,0,-0,0.182,0,0.551,-0.0486,0
0.0666,0,0,0,0,0.133,1,1.67e-07,0.00276,0.0002,0,-0,0.182,0,0.542,-0.0493,0
0.0677,0,0,0,0,0.135,1,1.67e-07,0.00277,0.000196,0,-0,0.182,0,0.532,-0.05,0
0.0689,0,0,0,0,0.138,1,1.67e-07,0.00277,0.000191,0,-0,0.182,0,0.522,-0.0507,0
0.0701,0,0,0,0,0.14,1,1.67e-07,0.00278,0.000185,0,-0,0.183,0,0.512,-0.0514,0
0.0714,0,0,0,0,0.143,1,1.67e-07,0.00279,0.00018,0,-0,0.183,0,0.502,-0.052,0
0.0728,0,0,0,0,0.146,1,1.67e-07,0.00279,0.000174,0,-0,0.183,0,0.492,-0.0527,0
0.0742,0,0,0,0,0.148,1,1.67e-07,0.0028,0.000168,0,-0,0.183,0,0.483,-0.0533,0
0.0758,0,0,0,0,0.152,1,1.67e-07,0.0028,0.000162,0,-0,0.183,0,0.473,-0.0538,0
0.0774,0,0,0,0,0.155,1,1.67e-07,0.00281,0.000156,0,-0,0.183,0,0.463,-0.0544,0
0.079,0,0,0,0,0.158,1,1.67e-07,0.00281,0.000149,0,-0,0.184,0,0.453,-0.0549,0
0.0808,0,0,0,0,0.162,1,1.67e-07,0.00282,0.000143,0,-0,0.184,0,0.444,-0.0554,0
0.0826,0,0,0,0,0.165,1,1.67e-07,0.00282,0.000136,0,-0,0.184,0,0.434,-0.0559,0
0.0846,0,0,0,0,0.169,1,1.67e-07,0.00283,0.000128,0,-0,0.184,0,0.424,-0.0564,0
0.0866,0,0,0,0,0.173,1,1.67e-07,0.00283,0.000121,0,-0,0.184,0,0.415,-0.0568,0
0.0887,0,0,0,0,0.177,1,1.67e-07,0.00283,0.000113,0,-0,0.184,0,0.405,-0.0572,0
0.0909,0,0,0,0,0.182,1,1.67e-07,0.00284,0.000105,0,-0,0.184,0,0.396,-0.0575,0
0.0933,0,0,0,0,0.187,1,1.67e-07,0.00284,9.67e-05,0,-0,0.184,0,0.386,-0.0579,0
0.0957,0,0,0,0,0.191,1,1.67e-07,0.00284,8.82e-05,0,-0,0.184,0,0.377,-0.0582,0
0.0982,0,0,0,0,0.196,1,1.67e-07,0.00284,7.94e-05,0,-0,0.184,0,0.368,-0.0585,0
0.101,0,0,0,0,0.202,1,1.67e-07,0.00284,7.04e-05,0,-0,0.185,0,0.359,-0.0587,0
0.104,0,0,0,0,0.207,1,1.67e-07,0.00284,6.12e-05,0,-0,0.185,0,0.35,-0.0589,0
0.106,0,0,0,0,0.213,1,1.67e-07,0.00284,5.17e-05,0,-0,0.185,0,0.341,-0.0591,0
0.109,0,0,0,0,0.219,1,1.67e-07,0.00284,4.2e-05,0,-0,0.184,0,0.332,-0.0592,0
0.113,0,0,0,0,0.225,1,1.67e-07,0.00284,3.2e-05,0,-0,0.184,0,0.323,-0.0593,0
0.116,0,0,0,0,0.232,1,1.67e-07,0.00284,2.18e-05,0,-0,0.184,0,0.315,-0.0594,0
0.119,0,0,0,0,0.238,1,1.67e-07,0.00284,1.14e-05,0,-0,0.184,0,0.306,-0.0595,0
0.123,0,0,0,0,0.245,1,1.67e-07,0.00283,8.19e-07,0,-0,0.184,0,0.298,-0.0595,0
0.126,0,0,0,0,0.253,1,1.67e-07,0.00283,-9.97e-06,0,-0,0.184,0,0.29,-0.0595,0
0.13,0,0,0,0,0.26,1,1.67e-07,0.00282,-2.09e-05,0,-0,0.184,0,0.281,-0.0594,0
0.134,0,0,0,0,0.268,1,1.67e-07,0.00282,-3.21e-05,0,-0,0.184,0,0.273,-0.0594,0
0.138,0,0,0,0,0.276,1,1.67e-07,0.00281,-4.34e-05,0,-0,0.183,0,0.266,-0.0592,0
0.142,0,0,0,0,0.284,1,1.67e-07,0.0028,-5.48e-05,0,-0,0.183,0,0.258,-0.0591,0
0.146,0,0,0,0,0.293,1,1.67e-07,0.00279,-6.64e-05,0,-0,0.183,0,0.25,-0.0589,0
0.151,0,0,0,0,0.302,1,1.67e-07,0.00278,-7.8e-05,0,-0,0.182,0,0.243,-0.0588,0
0.155,0,0,0,0,0.311,1,1.67e-07,0.00277,-8.98e-05,0,-0,0.182,0,0.236,-0.0585,0
0.16,0,0,0,0,0.32,1,1.67e-07,0.00275,-0.000102,0,-0,0.182,0,0.228,-0.0583,0
0.165,0,0,0,0,0.33,1,1.67e-07,0.00274,-0.000113,0,-0,0.181,0,0.221,-0.058,0
0.17,0,0,0,0,0.34,1,1.67e-07,0.00272,-0.000125,0,-0,0.181,0,0.214,-0.0577,0
0.175,0,0,0,0,0.35,1,1.67e-07,0.0027,-0.000137,0,-0,0.18,0,0.208,-0.0574,0
0.18,0,0,0,0,0.361,1,1.67e-07,0.00269,-0.000149,0,-0,0.18,0,0.201,-0.057,0
0.186,0,0,0,0,0.372,1,1.67e-07,0.00267,-0.000161,0,-0,0.179,0,0.195,-0.0567,0
0.191,0,0,0,0,0.383,1,1.67e-07,0.00264,-0.000173,0,-0,0.178,0,0.188,-0.0563,0
0.197,0,0,0,0,0.394,1,1.67e-07,0.00262,-0.000184,0,-0,0.177,0,0.182,-0.0558,0
0.203,0,0,0,0,0.406,1,1.67e-07,0.0026,-0.000196,0,-0,0.177,0,0.176,-0.0554,0
0.209,0,0,0,0,0.418,1,1.67e-07,0.00257,-0.000207,0,-0,0.176,0,0.17,-0.0549,0
0.215,0,0,0,0,0.43,1,1.67e-07,0.00254,-0.000218,0,-0,0.175,0,0.165,-0.0545,0
0.221,0,0,0,0,0.442,1,1.67e-07,0.00251,-0.000229,0,-0,0.174,0,0.159,-0.054,0
0.227,0,0,0,0,0.455,1,1.67e-07,0.00248,-0.00024,0,-0,0.173,0,0.154,-0.0535,0
0.234,0,0,0,0,0.468,1,1.67e-07,0.00245,-0.00025,0,-0,0.172,0,0.148,-0.0529,0
0.24,0,0,0,0,0.481,1,1.67e-07,0.00241,-0.00026,0,-0,0.171,0,0.143,-0.0524,0
0.247,0,0,0,0,0.494,1,1.67e-07,0.00237,-0.00027,0,-0,0.169,0,0.138,-0.0518,0
0.254,0,0,0,0,0.508,1,1.67e-07,0.00233,-0.000279,0,-0,0.168,0,0.133,-0.0513,0
0.261,0,0,0,0,0.522,1,1.67e-07,0.00229,-0.000288,0,-0,0.167,0,0.128,-0.0507,0
0.268,0,0,0,0,0.536,1,1.67e-07,0.00225,-0.000296,0,-0,0.165,0,0.124,-0.0501,0
0.275,0,0,0,0,0.55,1,1.67e-07,0.00221,-0.000303,0,-0,0.164,0,0.119,-0.0495,0
0.282,0,0,0,0,0.564,1,1.67e-07,0.00216,-0.000311,0,-0,0.162,0,0.115,-0.0488,0
0.289,0,0,0,0,0.579,1,1.67e-07,0.00211,-0.000317,0,-0,0.16,0,0.11,-0.0482,0
0.297,0,0,0,0,0.594,1,1.67e-07,0.00206,-0.000323,0,-0,0.158,0,0.106,-0.0476,0
0.304,0,0,0,0,0.609,1,1.67e-07,0.00201,-0.000328,0,-0,0.156,0,0.102,-0.0469,0
0.312,0,0,0,0,0.624,1,1.67e-07,0.00196,-0.000333,0,-0,0.155,0,0.0984,-0.0463,0
0.319,0,0,0,0,0.639,1,1.67e-07,0.0019,-0.000336,0,-0,0.152,0,0.0946,-0.0456,0
0.327,0,0,0,0,0.654,1,1.67e-07,0.00185,-0.000339,0,-0,0.15,0,0.0909,-0.045,0
0.335,0,0,0,0,0.669,1,1.67e-07,0.00179,-0.000342,0,-0,0.148,0,0.0874,-0.0443,0
0.342,0,0,0,0,0.685,1,1.67e-07,0.00173,-0.000343,0,-0,0.146,0,0.0839,-0.0436,0
