"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.054,0,0,0,0,0.108,1,1.67e-07,0.00241,0.000327,0,-0,6.43,0,0.695,-0.00774,0
0.0535,0,0,0,0,0.107,1,1.67e-07,0.00242,0.000327,0,-0,6.44,0,0.693,-0.00803,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.00242,0.000327,0,-0,6.45,0,0.691,-0.00832,0
0.0527,0,0,0,0,0.105,1,1.67e-07,0.00243,0.000327,0,-0,6.46,0,0.688,-0.00862,0
0.0523,0,0,0,0,0.105,1,1.67e-07,0.00244,0.000327,0,-0,6.47,0,0.686,-0.00892,0
0.0519,0,0,0,0,0.104,1,1.67e-07,0.00244,0.000327,0,-0,6.47,0,0.684,-0.00923,0
0.0515,0,0,0,0,0.103,1,1.67e-07,0.00245,0.000326,0,-0,6.48,0,0.681,-0.00954,0
0.0511,0,0,0,0,0.102,1,1.67e-07,0.00246,0.000326,0,-0,6.49,0,0.679,-0.00985,0
0.0507,0,0,0,0,0.101,1,1.67e-07,0.00246,0.000326,0,-0,6.5,0,0.677,-0.0102,0
0.0503,0,0,0,0,0.101,1,1.67e-07,0.00247,0.000326,0,-0,6.51,0,0.674,-0.0105,0
0.05,0,0,0,0,0.0999,1,1.67e-07,0.00247,0.000326,0,-0,6.52,0,0.672,-0.0108,0
0.0496,0,0,0,0,0.0992,1,1.67e-07,0.00248,0.000326,0,-0,6.52,0,0.669,-0.0112,0
0.0493,0,0,0,0,0.0985,1,1.67e-07,0.00249,0.000325,0,-0,6.53,0,0.667,-0.0115,0
0.0489,0,0,0,0,0.0979,1,1.67e-07,0.00249,0.000325,0,-0,6.54,0,0.664,-0.0118,0
0.0486,0,0,0,0,0.0972,1,1.67e-07,0.0025,0.000325,0,-0,6.55,0,0.661,-0.0122,0
0.0483,0,0,0,0,0.0966,1,1.67e-07,0.0025,0.000324,0,-0,6.55,0,0.659,-0.0125,0
0.048,0,0,0,0,0.096,1,1.67e-07,0.00251,0.000324,0,-0,6.56,0,0.656,-0.0129,0
0.0477,0,0,0,0,0.0954,1,1.67e-07,0.00251,0.000324,0,-0,6.57,0,0.653,-0.0132,0
0.0474,0,0,0,0,0.0948,1,1.67e-07,0.00252,0.000323,0,-0,6.58,0,0.651,-0.0136,0
0.0472,0,0,0,0,0.0943,1,1.67e-07,0.00252,0.000323,0,-0,6.58,0,0.648,-0.0139,0
0.0469,0,0,0,0,0.0938,1,1.67e-07,0.00253,0.000322,0,-0,6.59,0,0.645,-0.0143,0
