"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.0552,0,0,0,0,0.11,1,1.67e-07,0.00244,0.000315,0,-0,1.91,0,0.657,-0.0128,0
0.0547,0,0,0,0,0.109,1,1.67e-07,0.00245,0.000315,0,-0,1.91,0,0.653,-0.0133,0
0.0543,0,0,0,0,0.109,1,1.67e-07,0.00245,0.000314,0,-0,1.91,0,0.649,-0.0137,0
0.0539,0,0,0,0,0.108,1,1.67e-07,0.00246,0.000314,0,-0,1.91,0,0.646,-0.0142,0
0.0535,0,0,0,0,0.107,1,1.67e-07,0.00247,0.000313,0,-0,1.91,0,0.642,-0.0147,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.00248,0.000313,0,-0,1.92,0,0.638,-0.0152,0
0.0527,0,0,0,0,0.105,1,1.67e-07,0.00248,0.000312,0,-0,1.92,0,0.634,-0.0156,0
0.0524,0,0,0,0,0.105,1,1.67e-07,0.00249,0.000312,0,-0,1.92,0,0.63,-0.0161,0
0.052,0,0,0,0,0.104,1,1.67e-07,0.0025,0.000311,0,-0,1.92,0,0.626,-0.0166,0
0.0517,0,0,0,0,0.103,1,1.67e-07,0.00251,0.00031,0,-0,1.92,0,0.622,-0.0171,0
0.0514,0,0,0,0,0.103,1,1.67e-07,0.00251,0.00031,0,-0,1.92,0,0.618,-0.0176,0
0.0511,0,0,0,0,0.102,1,1.67e-07,0.00252,0.000309,0,-0,1.92,0,0.614,-0.0181,0
0.0509,0,0,0,0,0.102,1,1.67e-07,0.00253,0.000308,0,-0,1.92,0,0.61,-0.0187,0
0.0506,0,0,0,0,0.101,1,1.67e-07,0.00253,0.000307,0,-0,1.92,0,0.606,-0.0192,0
0.0504,0,0,0,0,0.101,1,1.67e-07,0.00254,0.000307,0,-0,1.92,0,0.601,-0.0197,0
0.0502,0,0,0,0,0.1,1,1.67e-07,0.00254,0.000306,0,-0,1.92,0,0.597,-0.0202,0
0.05,0,0,0,0,0.1,1,1.67e-07,0.00255,0.000305,0,-0,1.92,0,0.593,-0.0208,0
0.0498,0,0,0,0,0.0997,1,1.67e-07,0.00256,0.000304,0,-0,1.92,0,0.588,-0.0213,0
0.0497,0,0,0,0,0.0993,1,1.67e-07,0.00256,0.000303,0,-0,1.92,0,0.584,-0.0218,0
0.0495,0,0,0,0,0.0991,1,1.67e-07,0.00257,0.000302,0,-0,1.92,0,0.579,-0.0224,0
0.0494,0,0,0,0,0.0988,1,1.67e-07,0.00257,0.000301,0,-0,1.92,0,0.574,-0.0229,0
0.0493,0,0,0,0,0.0986,1,1.67e-07,0.00258,0.0003,0,-0,1.92,0,0.57,-0.0234,0
0.0492,0,0,0,0,0.0984,1,1.67e-07,0.00258,0.000298,0,-0,1.91,0,0.565,-0.024,0
0.0491,0,0,0,0,0.0982,1,1.67e-07,0.00259,0.000297,0,-0,1.91,0,0.56,-0.0245,0
0.0491,0,0,0,0,0.0981,1,1.67e-07,0.00259,0.000296,0,-0,1.91,0,0.556,-0.0251,0
0.049,0,0,0,0,0.098,1,1.67e-07,0.0026,0.000295,0,-0,1.91,0,0.551,-0.0256,0
0.049,0,0,0,0,0.098,1,1.67e-07,0.0026,0.000294,0,-0,1.91,0,0.546,-0.0262,0
0.049,0,0,0,0,0.0979,1,1.67e-07,0.00261,0.000292,0,-0,1.91,0,0.541,-0.0267,0
0.049,0,0,0,0,0.0979,1,1.67e-07,0.00261,0.000291,0,-0,1.91,0,0.536,-0.0273,0
0.049,0,0,0,0,0.0979,1,1.67e-07,0.00262,0.00029,0,-0,1.9,0,0.531,-0.0278,0
0.049,0,0,0,0,0.098,1,1.67e-07,0.00262,0.000288,0,-0,1.9,0,0.526,-0.0284,0
0.049,0,0,0,0,0.0981,1,1.67e-07,0.00263,0.000287,0,-0,1.9,0,0.521,-0.029,0
0.0491,0,0,0,0,0.0982,1,1.67e-07,0.00263,0.000286,0,-0,1.9,0,0.516,-0.0295,0
0.0492,0,0,0,0,0.0983,1,1.67e-07,0.00264,0.000284,0,-0,1.9,0,0.51,-0.0301,0
0.0493,0,0,0,0,0.0985,1,1.67e-07,0.00264,0.000283,0,-0,1.89,0,0.505,-0.0306,0
0.0494,0,0,0,0,0.0987,1,1.67e-07,0.00265,0.000281,0,-0,1.89,0,0.5,-0.0312,0
0.0495,0,0,0,0,0.0989,1,1.67e-07,0.00265,0.00028,0,-0,1.89,0,0.495,-0.0318,0
0.0496,0,0,0,0,0.0992,1,1.67e-07,0.00266,0.000278,0,-0,1.89,0,0.489,-0.0323,0
0.0497,0,0,0,0,0.0995,1,1.67e-07,0.00266,0.000277,0,-0,1.88,0,0.484,-0.0329,0
0.0499,0,0,0,0,0.0998,1,1.67e-07,0.00267,0.000275,0,-0,1.88,0,0.479,-0.0334,0
0.0501,0,0,0,0,0.1,1,1.67e-07,0.00267,0.000273,0,-0,1.88,0,0.473,-0.034,0
0.0502,0,0,0,0,0.1,1,1.67e-07,0.00267,0.000272,0,-0,1.88,0,0.468,-0.0346,0
0.0504,0,0,0,0,0.101,1,1.67e-07,0.00268,0.00027,0,-0,1.87,0,0.462,-0.0351,0
0.0507,0,0,0,0,0.101,1,1.67e-07,0.00268,0.000268,0,-0,1.87,0,0.457,-0.0357,0
0.0509,0,0,0,0,0.102,1,1.67e-07,0.00269,0.000266,0,-0,1.87,0,0.451,-0.0362,0
0.0511,0,0,0,0,0.102,1,1.67e-07,0.00269,0.000265,0,-0,1.87,0,0.446,-0.0368,0
0.0514,0,0,0,0,0.103,1,1.67e-07,0.0027,0.000263,0,-0,1.86,0,0.44,-0.0373,0
0.0516,0,0,0,0,0.103,1,1.67e-07,0.0027,0.000261,0,-0,1.86,0,0.434,-0.0379,0
0.0519,0,0,0,0,0.104,1,1.67e-07,0.0027,0.000259,0,-0,1.86,0,0.429,-0.0384,0
0.0522,0,0,0,0,0.104,1,1.67e-07,0.00271,0.000257,0,-0,1.86,0,0.423,-0.039,0
0.0525,0,0,0,0,0.105,1,1.67e-07,0.00271,0.000255,0,-0,1.85,0,0.417,-0.0395,0
0.0529,0,0,0,0,0.106,1,1.67e-07,0.00272,0.000253,0,-0,1.85,0,0.411,-0.04,0
0.0532,0,0,0,0,0.106,1,1.67e-07,0.00272,0.000251,0,-0,1.85,0,0.406,-0.0406,0
0.0536,0,0,0,0,0.107,1,1.67e-07,0.00272,0.000249,0,-0,1.84,0,0.4,-0.0411,0
0.0539,0,0,0,0,0.108,1,1.67e-07,0.00273,0.000247,0,-0,1.84,0,0.394,-0.0416,0
0.0543,0,0,0,0,0.109,1,1.67e-07,0.00273,0.000245,0,-0,1.84,0,0.388,-0.0422,0
0.0547,0,0,0,0,0.109,1,1.67e-07,0.00274,0.000242,0,-0,1.84,0,0.382,-0.0427,0
0.0551,0,0,0,0,0.11,1,1.67e-07,0.00274,0.00024,0,-0,1.83,0,0.376,-0.0432,0
0.0556,0,0,0,0,0.111,1,1.67e-07,0.00274,0.000238,0,-0,1.83,0,0.371,-0.0437,0
0.056,0,0,0,0,0.112,1,1.67e-07,0.00275,0.000236,0,-0,1.83,0,0.365,-0.0442,0
