"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -5.081445671,      -4.460225765,      -4.544459762,      -8.903763167
          0,           0,          77,      -5.078812966,      -4.457338288,      -4.540341934,      -8.899180886
          0,           0,          78,      -5.076317878,      -4.454612372,      -4.536294072,      -8.895037692
          0,           0,          79,      -5.073952244,      -4.452027444,      -4.532318243,      -8.891318281
          0,           0,          80,      -5.071704485,      -4.449562874,      -4.528416961,      -8.888009989
          0,           0,          81,      -5.069559434,      -4.447198132,      -4.524593074,      -8.885095817
          0,           0,          82,      -5.067500816,      -4.444913493,      -4.520848494,      -8.882555948
          0,           0,          83,       -5.06550996,      -4.442689511,      -4.517183772,      -8.880371819
          0,           0,          84,      -5.063565419,      -4.440507732,      -4.513598069,      -8.878523943
          0,           0,          85,       -5.06164435,      -4.438351362,      -4.510088844,       -8.87699201
          0,           0,          86,      -5.059724032,      -4.436205531,      -4.506651546,      -8.875757408
          0,           0,          87,      -5.057783605,      -4.434057217,      -4.503279451,      -8.874800244
          0,           0,          88,      -5.055805616,      -4.431895256,      -4.499963815,      -8.874101841
          0,           0,          89,      -5.053777104,      -4.429710332,      -4.496694286,       -8.87364393
          0,           0,          90,      -5.051690364,      -4.427494855,      -4.493459448,      -8.873407933
          0,           0,          91,      -5.049543617,      -4.425242874,      -4.490247251,      -8.873375635
          0,           0,          92,       -5.04733914,       -4.42294969,      -4.487046038,      -8.873527757
          0,           0,          93,      -5.045082425,      -4.420611996,      -4.483845447,      -8.873846411
          0,           0,          94,      -5.042780914,      -4.418227501,      -4.480637188,      -8.874314089
          0,           0,          95,      -5.040442664,       -4.41579474,      -4.477415655,      -8.874912514
          0,           0,          96,       -5.03807504,      -4.413312825,      -4.474178299,      -8.875626665
          0,           0,          97,      -5.035683689,      -4.410781199,      -4.470925702,      -8.876439141
          0,           0,          98,      -5.033271828,      -4.408199453,      -4.467661355,      -8.877333729
          0,           0,          99,      -5.030840005,      -4.405567195,      -4.464391171,       -8.87829688
          0,           0,         100,      -5.028386261,       -4.40288391,      -4.461122827,      -8.879313742
          0,           0,         101,      -5.025906593,      -4.400149016,      -4.457865095,      -8.880367117
          0,           0,         102,      -5.023395743,      -4.397361855,      -4.454627179,      -8.881440639
          0,           0,         103,      -5.020847996,      -4.394521731,      -4.451418191,      -8.882517144
          0,           0,         104,      -5.018257976,      -4.391628115,      -4.448246772,      -8.883579042
          0,           0,         105,      -5.015621432,      -4.388680885,      -4.445120902,      -8.884607436
          0,           0,         106,      -5.012935921,      -4.385680627,       -4.44204793,      -8.885586315
          0,           0,         107,      -5.010201544,      -4.382629194,      -4.439034851,      -8.886498417
          0,           0,         108,      -5.007421763,       -4.37953004,      -4.436088836,      -8.887328473
          0,           0,         109,      -5.004604516,      -4.376388715,      -4.433217921,       -8.88806097
          0,           0,         110,      -5.001763523,      -4.373213289,      -4.430431757,      -8.888685635
          0,           0,         111,      -4.998920163,      -4.370014925,      -4.427742291,      -8.889189074
          0,           0,         112,      -4.996104653,      -4.366808068,      -4.425164316,      -8.889556721
          0,           0,         113,      -4.993357095,      -4.363610578,      -4.422715995,      -8.889778883
          0,           0,         114,      -4.990728233,       -4.36044356,      -4.420419007,      -8.889847429
          0,           0,         115,      -4.988279321,      -4.357330651,      -4.418298074,      -8.889759148
          0,           0,         116,      -4.986080747,      -4.354296829,      -4.416379749,      -8.889511297
          0,           0,         117,      -4.984209118,       -4.35136664,      -4.414690255,      -8.889104783
          0,           0,         118,      -4.982742581,      -4.348561803,      -4.413252286,      -8.888542142
          0,           0,         119,      -4.981754402,      -4.345898466,      -4.412080784,      -8.887830903
          0,           0,         120,      -4.981305013,      -4.343384263,      -4.411177911,       -8.88698036
          0,           0,         121,      -4.981433037,      -4.341015532,      -4.410527716,       -8.88599739
          0,           0,         122,      -4.982146134,      -4.338775152,      -4.410091229,      -8.884891943
          0,           0,         123,      -4.983411508,      -4.336631491,      -4.409803513,      -8.883671957
          0,           0,         124,       -4.98515422,      -4.334538884,      -4.409571814,      -8.882344742
