"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -5.015855477,      -4.759521625,      -4.700481044,      -10.05936527
          0,           0,          77,      -5.010477111,      -4.752018162,      -4.692913573,      -10.05831855
          0,           0,          78,      -5.005063346,      -4.744567832,      -4.685378407,      -10.05733303
          0,           0,          79,      -4.999606841,      -4.737241159,      -4.677925519,      -10.05640452
          0,           0,          80,      -4.994102595,      -4.730096669,      -4.670605834,      -10.05552832
          0,           0,          81,      -4.988554343,      -4.723166875,      -4.663461427,      -10.05470104
          0,           0,          82,      -4.982968868,      -4.716455581,       -4.65652575,      -10.05392244
          0,           0,          83,      -4.977355055,      -4.709933032,      -4.649817343,      -10.05319138
          0,           0,          84,      -4.971724125,      -4.703530749,      -4.643333289,      -10.05251559
          0,           0,          85,       -4.96608707,      -4.697140761,      -4.637046825,      -10.05192005
          0,           0,          86,      -4.960465731,      -4.690612288,      -4.630891681,      -10.05137721
          0,           0,          87,      -4.954887975,      -4.683763187,      -4.624764654,      -10.05086733
          0,           0,          88,      -4.949375887,      -4.676407163,      -4.618537284,      -10.05037934
          0,           0,          89,      -4.943942961,      -4.668381346,      -4.612064244,      -10.04990049
          0,           0,          90,      -4.938592729,      -4.659571261,      -4.605196199,      -10.04942409
          0,           0,          91,      -4.933317358,      -4.649932694,      -4.597796941,      -10.04895286
          0,           0,          92,      -4.928096316,      -4.639505833,      -4.589762535,      -10.04848791
          0,           0,          93,      -4.922895783,      -4.628417769,      -4.581038758,      -10.04803712
          0,           0,          94,      -4.917669557,      -4.616872185,      -4.571632819,      -10.04759259
          0,           0,          95,      -4.912362022,      -4.605128237,      -4.561616357,      -10.04714287
          0,           0,          96,      -4.906913486,      -4.593473048,      -4.551118626,      -10.04668004
          0,           0,          97,      -4.901267776,      -4.582192793,      -4.540311167,       -10.0461977
          0,           0,          98,      -4.895377295,      -4.571544553,      -4.529389186,      -10.04569781
          0,           0,          99,      -4.889228488,      -4.561734298,       -4.51853806,      -10.04518529
          0,           0,         100,      -4.882850288,      -4.552903125,      -4.507918787,      -10.04466225
          0,           0,         101,      -4.876287791,      -4.545118711,      -4.497673996,      -10.04413027
          0,           0,         102,      -4.869620199,      -4.538377089,        -4.4879073,      -10.04358142
          0,           0,         103,       -4.86295676,      -4.532602787,       -4.47868445,      -10.04300496
          0,           0,         104,      -4.856427161,      -4.527656223,      -4.470042226,      -10.04243614
          0,           0,         105,      -4.850168845,      -4.523349081,      -4.462002778,      -10.04182088
          0,           0,         106,      -4.844313512,      -4.519468355,      -4.454591239,      -10.04115869
          0,           0,         107,      -4.838974924,      -4.515808733,      -4.447854105,      -10.04045438
          0,           0,         108,      -4.834239986,      -4.512210712,      -4.441875609,      -10.03970715
          0,           0,         109,      -4.830164711,      -4.508598814,      -4.436789325,      -10.03890541
          0,           0,         110,      -4.826775761,      -4.505012034,      -4.432783019,      -10.03803252
          0,           0,         111,      -4.824077105,      -4.501618542,      -4.430095785,      -10.03708017
          0,           0,         112,       -4.82205994,      -4.498709256,      -4.429007267,      -10.03604896
          0,           0,         113,      -4.820712773,      -4.496669227,      -4.429819122,      -10.03494841
          0,           0,         114,      -4.820022456,      -4.495930298,      -4.432832372,      -10.03380091
          0,           0,         115,      -4.819987142,      -4.496907819,       -4.43829885,      -10.03262714
          0,           0,         116,      -4.820563216,      -4.499927631,       -4.44639783,      -10.03144477
          0,           0,         117,      -4.821729864,      -4.505140789,      -4.457103904,      -10.03026316
          0,           0,         118,      -4.823409688,      -4.512406628,      -4.470108709,      -10.02908578
          0,           0,         119,      -4.825422103,      -4.521199664,      -4.484695568,      -10.02791699
          0,           0,         120,      -4.827494795,      -4.530522305,      -4.499577899,      -10.02676421
          0,           0,         121,      -4.829287135,      -4.538879226,      -4.512810403,      -10.02562988
          0,           0,         122,      -4.830446993,       -4.54442031,      -4.521924863,      -10.02450966
          0,           0,         123,      -4.830697113,      -4.545331437,      -4.524460531,      -10.02340911
          0,           0,         124,      -4.829930901,      -4.540414185,      -4.518840731,      -10.02226371
          0,           0,         125,      -4.828285077,      -4.529576493,      -4.505125116,      -10.02102511
          0,           0,         126,      -4.826158903,      -4.513904864,      -4.485050421,      -10.01967443
          0,           0,         127,      -4.824170258,      -4.495265332,      -4.461322372,      -10.01820514
          0,           0,         128,        -4.8230671,      -4.475715499,      -4.436718198,      -10.01662125
          0,           0,         129,      -4.823625707,      -4.457048777,      -4.413507323,      -10.01492892
          0,           0,         130,      -4.826564193,      -4.440588385,      -4.393276084,      -10.01314485
          0,           0,         131,      -4.832485349,      -4.427174259,      -4.376994637,      -10.01129359
          0,           0,         132,      -4.841848971,      -4.417242276,      -4.365162197,      -10.00940996
          0,           0,         133,      -4.854965627,      -4.410925432,      -4.357945134,      -10.00753742
          0,           0,         134,      -4.872001854,      -4.408144968,      -4.355281683,      -10.00570269
          0,           0,         135,       -4.89298819,      -4.408682946,      -4.356954131,      -10.00393374
          0,           0,         136,      -4.917823667,      -4.412237767,      -4.362637259,      -10.00224801
          0,           0,         137,      -4.946271925,      -4.418466892,      -4.371932219,      -10.00065274
          0,           0,         138,      -4.977945096,      -4.427020001,      -4.384393278,      -9.999148943
          0,           0,         139,      -5.012272167,      -4.437564652,      -4.399552533,      -9.997734763
          0,           0,         140,      -5.048450543,      -4.449805103,      -4.416945525,      -9.996406444
          0,           0,         141,      -5.085385959,      -4.463494276,      -4.436138416,      -9.995153773
          0,           0,         142,      -5.121640594,      -4.478438613,      -4.456755087,      -9.993957968
          0,           0,         143,       -5.15543455,      -4.494495996,      -4.478500639,        -9.9927993
          0,           0,         144,      -5.184771516,      -4.511567466,      -4.501176875,       -9.99166135
          0,           0,         145,       -5.20774877,      -4.529583734,      -4.524685881,      -9.990531136
          0,           0,         146,      -5.223016737,      -4.548487802,      -4.549019571,      -9.989399368
          0,           0,         147,      -5.230196079,      -4.568214328,      -4.574235457,      -9.988258901
          0,           0,         148,      -5.229998489,      -4.588666629,      -4.600420579,      -9.987106542
          0,           0,         149,      -5.223964768,      -4.609691919,       -4.62764577,      -9.985941098
          0,           0,         150,      -5.213992532,      -4.631055554,      -4.655911452,      -9.984766096
          0,           0,         151,      -5.201909462,      -4.652416409,      -4.685085102,      -9.983588036
          0,           0,         152,      -5.189234039,       -4.67330783,       -4.71482789,      -9.982414223
          0,           0,         153,      -5.177106826,      -4.693131339,      -4.744515728,      -9.981250584
          0,           0,         154,      -5.166321718,      -4.711173896,      -4.773170293,      -9.980099796
          0,           0,         155,      -5.157396607,      -4.726659644,      -4.799434335,      -9.978963629
          0,           0,         156,      -5.150645043,      -4.738843257,       -4.82165322,      -9.977845798
          0,           0,         157,      -5.146234733,      -4.747130553,       -4.83812445,      -9.976746035
          0,           0,         158,       -5.14423051,      -4.751195795,      -4.847507805,      -9.975670507
          0,           0,         159,      -5.144623917,      -4.751054331,      -4.849250101,      -9.974626253
          0,           0,         160,      -5.147352507,      -4.747059372,      -4.843787713,      -9.973624383
          0,           0,         161,      -5.152311624,      -4.739825236,      -4.832393383,      -9.972676757
          0,           0,         162,      -5.159360768,      -4.730108685,      -4.816771804,      -9.971781147
          0,           0,         163,      -5.168326111,      -4.718690204,      -4.798639764,      -9.970908166
          0,           0,         164,      -5.179000347,      -4.706285473,      -4.779455388,      -9.970056446
          0,           0,         165,      -5.191140881,      -4.693495673,      -4.760319157,      -9.969222465
          0,           0,         166,      -5.204467394,      -4.680791543,      -4.741988763,       -9.96840602
          0,           0,         167,      -5.218660025,      -4.668519402,      -4.724943129,      -9.967610467
          0,           0,         168,      -5.233359691,      -4.656918392,       -4.70945459,       -9.96683661
          0,           0,         169,      -5.248172318,      -4.646141471,      -4.695651152,      -9.966082612
          0,           0,         170,      -5.262678842,      -4.636275949,      -4.683564191,      -9.965340265
          0,           0,         171,      -5.276452328,      -4.627361069,      -4.673162845,      -9.964600056
          0,           0,         172,      -5.289082324,      -4.619402514,      -4.664378091,      -9.963855646
          0,           0,         173,      -5.300204574,        -4.6123838,      -4.657119358,      -9.963103119
          0,           0,         174,      -5.309531778,      -4.606275047,      -4.651285974,      -9.962342533
          0,           0,         175,      -5.316879404,      -4.601039417,      -4.646775079,      -9.961574084
          0,           0,         176,      -5.322180462,      -4.596637809,      -4.643487098,      -9.960796272
          0,           0,         177,       -5.32548542,      -4.593031836,      -4.641329481,      -9.960007297
          0,           0,         178,      -5.326947279,       -4.59018565,      -4.640219123,      -9.959205245
          0,           0,         179,      -5.326795635,      -4.588066688,      -4.640083739,       -9.95838853
          0,           0,         180,       -5.32530586,      -4.586645619,      -4.640862343,       -9.95755834
          0,           0,         181,      -5.322769488,      -4.585895713,      -4.642504943,       -9.95671478
          0,           0,         182,      -5.319470173,       -4.58579155,      -4.644971558,      -9.955856138
          0,           0,         183,      -5.315667193,      -4.586307722,      -4.648230621,      -9.954979939
          0,           0,         184,      -5.311586421,       -4.58741724,      -4.652256928,      -9.954097151
          0,           0,         185,       -5.30741742,      -4.589089794,      -4.657029203,      -9.953204402
          0,           0,         186,      -5.303314864,      -4.591290521,      -4.662527413,      -9.952290046
          0,           0,         187,      -5.299402534,      -4.593978479,      -4.668729967,      -9.951353118
          0,           0,         188,       -5.29577853,      -4.597105851,      -4.675610886,      -9.950393112
          0,           0,         189,      -5.292520673,      -4.600617519,      -4.683137067,      -9.949408801
          0,           0,         190,      -5.289691481,      -4.604450448,      -4.691265713,      -9.948399936
          0,           0,         191,       -5.28734239,      -4.608534643,      -4.699942033,      -9.947357554
          0,           0,         192,      -5.285517049,      -4.612793378,      -4.709097333,      -9.946283216
          0,           0,         193,      -5.284253739,       -4.61714517,      -4.718647629,      -9.945174055
          0,           0,         194,      -5.283586957,      -4.621505356,      -4.728492924,      -9.944027738
          0,           0,         195,      -5.283548312,      -4.625788526,      -4.738517411,      -9.942842989
          0,           0,         196,      -5.284166862,      -4.629911481,      -4.748590734,      -9.941619347
          0,           0,         197,      -5.285469018,      -4.633795902,      -4.758570632,      -9.940353552
          0,           0,         198,      -5.287478131,      -4.637371597,      -4.768307062,      -9.939047395
          0,           0,         199,      -5.290213848,      -4.640579378,      -4.777647892,      -9.937701817
          0,           0,         200,      -5.293691304,      -4.643373282,      -4.786445989,       -9.93631468
